apt,sector,techniques
Sea Turtle <Talos>,"Defense, Energy, Government, Intelligence agencies","DNS hijacking, Drupalgeddon"
Shadow Network <Information Warfare Monitor>,"Education, Government",ShadowNet
Silence <Kaspersky>,Financial.,"Atmosphere, Silence"
Sima <Amnesty International>,Country level,Sima
Slingshot <Kaspersky>,Country level,"Cahnadr, GollumApp, Slingshot, WinBox"
Snake Wine <Cylance>,"Commerce, Education, Government","Ham Backdoor, Tofu Backdoor"
Snowglobe <CSEC>:Animal Farm <Kaspersky>,"Government, private","Babar, Casper, Dino, EvilBunny, Tafacalou, Nbot, Chocopop"
Sofacy <Kaspersky>:APT 28 <Mandiant>:Fancy Bear <CrowdStrike>:Sednit <ESET>:Group 74 <Talos>:TG-4127 <SecureWorks>:Pawn Storm <Trend Micro>:Tsar Team <iSight>:Strontium <Microsoft>:Swallowtail <Symantec>:SIG40 <NSA>:Snakemackerel <iDefense>:Iron Twilight <SecureWorks>:Grizzly Steppe <US Government>,"Chemical, Defense, Embassies, Engineering, Government, Industrial, Intelligence organizations, Media, NGOs, Think Tanks","ADVSTORESHELL, Cannon, certutil, CHOPSTICK, Computrace, CORESHELL, DealersChoice, Downdelph, DownRange, Dropper, EVILTOSS, Foozer, Forfiles, HIDEDRV, JHUHUGIT, Koadic, Komplex, LoJax, Mimikatz, OLDBAIT, PocoDown, Responder, Sedkit, Sednit, Sedreco, Seduploader, Sofacy, SOURFACE, USBStealer, Winexe, WinIDS, X-Agent, X-Agent for Android, X-Agent OSX, XTunnel, Zebrocy"
Sowbug <Symantec>,Government,"Felismus, StarLoader."
Stalker Panda <Raytheon Blackbird Technologies>,"Engineering, Media, political","Elirks, SharpServer, Blogspot, XUni platform"
Stealth Falcon <Citizen Lab>:FruityArmor <Kaspersky>,"Civil society groups, Emirati journalists, activists, dissidents",Various
Stolen Pencil <ASERT>,"Education, Think Tanks",Mimikatz
Stone Panda <CrowdStrike>:APT 10 <Mandiant>:menuPass Team <Symantec>:menuPass <Palo Alto>:Red Apollo <PwC>:CVNX <BAE Systems>:Potassium <Microsoft>:Hogfish <iDefense>:Happyyongzi <FireEye>,"Aerospace, Defense, Government, Healthcare, MSPs, Pharmaceutical","Anel, certutil, ChChes, Cobalt Strike, Emdivi, EvilGrab, Impacket, Mimikatz, PlugX, Poison Ivy, PowerSploit, pwdump, QuasarRAT, RedLeaves, SNUGRIDE, Trochilus RAT, UPPERCUT"
Strider <Symantec>:ProjectSauron <Kaspersky>,"Defense, Embassies, Financial, Government, Scientific research centers, Telecommunications",Remsec
Suckfly <Symantec>,"E-commerce, Entertainment, Financial, Government, Healthcare, Media, Shipping, Software development, Video game development","gsecdump, Nidiran, rcpscan, smbscan, wce"
TA459 <Proofpoint>,Financial Analysts,"Gh0st RAT, NetTraveler, PlugX, ZeroT"
TA505 <Proofpoint>,"Financial, Hospitality, Retail","Bart, Dridex, FlawedAmmy, FlawedGrace, GlobeImposter, Jaff, Kegotip, Locky, LOLBins, Necurs, Neutrino, Philadelphia, RockLoader, RMS, ServHelper, Shifu, The Trick"
Taidoor <Trend Micro>,Government,Taidoor
TeamSpy Crew <Kaspersky>:SIG39 <NSA>,Country level,"Malicious TeamViewer, Java RATs"
TeleBots <ESET>,"Financial, Software companies, Transportation","Felixroot, GreyEnergy, NotPetya, TeleDoor"
Temper Panda <Crowdstrike>:admin@338 <FireEye>:Team338 <Kaspersky>:Magnesium <Microsoft>,"Defense, Financial, Government, Media, Think Tanks","Bozok, BUBBLEWRAP, LOWBALL, Poison Ivy, Systeminfo"
TEMP.Veles <FireEye>:Xenotime <Dragos>,"Critical infrastructure, Oil and gas","Cryptcat, HatMan, Mimikatz, NetExec, PSExec, SecHack, TRISIS, TRITON, Wii."
Terbium <Microsoft>,Country level,Depriz
Thrip <Symantec>,"Defense, Satellite, Telecommunications","Catchamas, Mimikatz, Rikamanu, Spedear, WMI Ghost"
Transparent Tribe <Proofpoint>:APT 36 <Mandiant>:ProjectM <Palo Alto>:Mythic Leopard <CrowdStrike>:TEMP.Lapis <FireEye>,"Defense, Embassies, Government","Andromeda, beendoor, Bezigate, Bozok, BreachRAT, Crimson RAT, DarkComet, Luminosity RAT, njRAT, Peppy Trojan, UPDATESEE"
Tropic Trooper <Trend Micro>,"Defense, Government, Healthcare, High-Tech, Transportation","KeyBoy, PCShare, Poison Ivy, Titan, Yahoyah, Winsloader"
Turla <Kaspersky>:Waterbug <Symantec>:Venomous Bear <CrowdStrike>:Group 88 <Talos>:SIG23 <NSA>:Iron Hunter <SecureWorks>:Pacifier APT <Bitdefender>,"Defense, Education, Embassies, Energy, Government, High-Tech, Media, NGOs, Pharmaceutical, Research, Retail","AdobeARM, Agent.BTZ, Agent.DNE, ATI-Agent, Cobra Carbon System, ComRAT, Empire, Epic, Gazer, gpresult, HTML5 Encoding, IcedCoffeer, Kazuar, KopiLuwak, KRYPTON, KSL0T, LightNeuron, Maintools.js, Metasploit, Mimikatz, MiniDionis, Mosquito, Nautilus, nbtstat, Neuron, Outlook Backdoor, Penguin Turla, Pfinet, 
Popeye, pwdump, Skipper, Snake, Systeminfo, Tasklist, Tavdig, Turla, Uroburos, wce, WhiteAtlas, WhiteBear, Wipbot, WITCHCOVEN, WRAITH"
Urpage <Trend Micro>,Country level,Trojaned Android applications
Volatile Cedar <Check Point>:Dancing Salome <Kaspersky>,"Education, Government, Hosting",Explosive
Whitefly <Symantec>,"Engineering, Healthcare, Media, Telecommunications","Mimikatz, Nibatad, Termite, Vcrodat"
Wicked Spider <CrowdStrike>:APT 22 <Mandiant>,Technology,"ETERNALBLUE, DOUBLEPULSAR, PlugX"
Wild Neutron <Kaspersky>:Butterfly <Symantec>:Morpho <Symantec>:Sphinx Moth <Kudeslski>,"Bitcoin-related companies, Healthcare, Investment companies, IT, Real estate, lawyers, individual users","HesperBot, JripBot, WildNeutron, Various 0days"
Winnti Group <Kaspersky>:Blackfly <Symantec>:Wicked Panda <CrowdStrike>,"Online video game companies, Pharmaceutical, Telecommunications","Cobalt Strike, Winnti"
WindShift <DarkMatter>,Government,WindTail
Achilles <AdvIntel>,"Defense, Government, private sectors",RDP
Dungeon Spider <CrowdStrike>,Any/Commodity,Locky.
Fxmsp <self given>,AV vendors,"RDP, Exposed AD"
Gold Lowell <SecureWorks>:Boss Spider <CrowdStrike>,"Government, Healthcare","Mimikatz, PSExec, SamSam"
Grim Spider <CrowdStrike>:TEMP.MixMaster <FireEye>,Any,Ryuk
Indrik Spider <CrowdStrike>,Any/Commodity,"Dridex, BitPaymer"
Mummy Spider <CrowdStrike>:TA542 <Proofpoint>,"Energy, Financial, Government, Healthcare, Manufacturing, Shipping and Logistics, Utilities, Technology","Emotet, Geodo"
Operation Comando <Palo Alto>,Hospitality <specifically on hotel reservations>,CapturaTela
Pacha Group <Intezer>,Any/Commodity,"Antd, DDG, GreedyAntd, Korkerds, XMRig"
Pinchy Spider <CrowdStrike>,Any/Commodity,GandCrab
Rocke <Talos>,Any/Commodity,"Apache Struts Vulnerabilities, Xbash "
Wizard Spider <CrowdStrike>,Any/Commodity,"Dyre, Trickbot"
